wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5140.7136,53.91867,95.81194,6.80E+10,2.68E+10,4.89E+10,3.10E+10,8.46E+10,0.05294031,0.005955509,0.2682615,2.6471,3181.237,5653.023,1.776984,13.48973,3.947016
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5140.866,54.68626,97.38212,6.56E+10,2.58E+10,4.75E+10,3.03E+10,8.20E+10,0.05763195,0.000201857,0.2696773,2.63765,3130.232,5573.928,1.780713,13.47375,3.909212
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.0184,55.62815,98.20532,6.39E+10,2.53E+10,4.51E+10,2.82E+10,7.88E+10,0.07142979,0.000259466,0.2637394,2.62407,3103.708,5479.569,1.765475,12.85307,3.849264
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.1708,56.58726,99.20839,6.18E+10,2.46E+10,4.27E+10,2.64E+10,7.55E+10,0.08541569,0.00606282,0.2588875,2.601077,3072.423,5386.688,1.753218,13.06193,3.981643
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.3232,57.1531,99.60725,6.06E+10,2.42E+10,4.12E+10,2.51E+10,7.34E+10,0.09228438,0.01591922,0.2545804,2.581112,3060.019,5333.1,1.742831,13.27351,4.207568
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.4756,57.43916,99.38862,6.06E+10,2.42E+10,4.03E+10,2.41E+10,7.26E+10,0.08908969,0.02502835,0.249236,2.577219,3066.756,5306.502,1.73034,13.75504,4.377994
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.628,56.66002,98.45407,6.21E+10,2.48E+10,4.18E+10,2.53E+10,7.49E+10,0.07708771,0.02542166,0.2523942,2.586475,3095.949,5379.929,1.737694,13.82959,4.370886
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.7804,56.19204,97.70193,6.33E+10,2.53E+10,4.27E+10,2.59E+10,7.64E+10,0.07100657,0.02345145,0.252854,2.59618,3119.715,5424.268,1.738712,14.1162,4.340799
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5141.9328,56.45787,96.91374,6.40E+10,2.57E+10,4.15E+10,2.44E+10,7.59E+10,0.07199507,0.01972386,0.2430513,2.602688,3145.116,5398.784,1.716614,14.02985,4.345392
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.0852,56.26182,96.85546,6.43E+10,2.58E+10,4.21E+10,2.49E+10,7.66E+10,0.07640325,0.01744323,0.2453346,2.608593,3146.962,5417.599,1.721543,13.83839,4.390894
